x,y,z
-25.951189689128924,-2.0638657049616995,a
14.20942876224722,44.50534610030775,a
37.703259114837515,28.49769410697195,a
27.19544545386387,15.272050705387983,a
-15.29335770696622,29.27795360231437,a
-18.38610769148412,99.57575472384764,a
-7.81820696838043,20.567574057796378,a
63.13888806922402,-11.528942644803635,a
10.628419195651368,42.46862606770259,a
81.03241832765742,48.778497235805446,a
75.27067453062192,15.774056871540097,a
56.19322404225822,36.9442869957893,a
119.33442599950729,74.92426611657748,a
95.600333307331,61.23716481091543,a
107.4128383468473,68.45667749017446,a
70.85396615015054,64.19941414747757,a
125.63813676712283,98.08968916492984,a
107.33406011119672,102.5907307267633,a
70.81797218550528,90.64284601356502,a
132.4605992775396,71.070430792254,a
183.5374365992865,129.53358338557865,a
134.66120380045214,99.80171640486276,a
140.49727343245112,158.48719401721502,a
165.27535325988856,122.81367815578415,a
96.89598291797816,124.19123114064507,a
153.3544528869392,118.85573157461556,a
147.72036497776756,131.5533276748942,a
205.49767258078873,80.23909510463812,a
182.37668665425653,138.56625955964006,a
194.278902300246,131.88978821265653,a
140.29070397321453,120.20181078786618,a
195.36822736538983,137.14652899657722,a
224.12581807863606,139.4589148259194,a
216.90150585984128,201.7707125407985,a
182.4916059378353,111.35400389068673,a
232.14650246020136,159.64712781542983,a
149.75032262672093,110.58854149099784,a
224.91165205192266,108.75560724338538,a
215.46464921571462,194.6094098204215,a
192.72175782323194,157.70831917558036,a
255.11169990843743,185.56347166310246,a
207.32878476113245,149.02711885287675,a
226.739761316275,169.72066254181664,a
218.69286579119455,190.65102394014144,a
244.12511209145435,168.80695043290183,a
261.77481489207696,151.4788085541261,a
248.91205454001164,133.72381424081198,a
247.25405228420462,178.03607967215117,a
209.0810782891567,196.2504942558328,a
283.9120052272144,200.52723359259738,a
239.3217021662506,109.64953260530422,a
255.39378736598675,200.26916898536996,a
258.5127019560857,209.66008914454096,a
247.5524787141427,221.49337365117026,a
304.08646019788733,183.97595163872876,a
320.94891270740686,209.34989840094164,a
341.6915248962508,219.97213807868627,a
275.61485958658375,195.11040584476422,a
287.0187252051061,265.8389989947574,a
356.0958865762124,188.78316837928912,a
326.83635379154913,204.61153532618715,a
302.1083268420293,252.3343692995767,a
290.7333513621538,216.7031705917355,a
342.58583188888514,219.0665651149789,a
327.79109918018617,200.48047402877648,a
335.53585211448876,244.5700435384369,a
380.4757404470476,231.30376586600073,a
363.79711748777214,238.90364493819828,a
380.6913166050987,231.0685220281497,a
340.9467123055885,263.98738182365855,a
358.9908243980606,246.97890429244163,a
372.07211071228915,271.6360714054432,a
393.60313407133077,259.6004797568979,a
408.2196337217031,259.60206744259483,a
354.9431740834732,255.48768469447026,a
352.84283199346083,271.2339043015336,a
401.1390824739681,281.72060475731234,a
439.11985799899793,242.8379351253701,a
435.00635185233745,262.9499756203587,a
431.10833454576186,275.33671657642935,a
433.08301694998374,307.73104472431464,a
439.93847453231734,296.46844744011435,a
433.3518883436831,297.89128431162567,a
422.33096895700317,272.7223633365393,a
457.21539458364316,269.1526525035427,a
458.5934069956894,288.7389165091579,a
465.4544439463863,257.238206743488,a
438.43202873190774,300.2380375941624,a
438.816550708741,314.2361784183453,a
435.17225784038163,344.90993051568637,a
473.7996279798387,341.08443189290233,a
494.452252268905,329.1839821479629,a
414.2038276450268,339.22470471605226,a
510.0923848911069,278.75641473137716,a
452.82821977485935,328.69284105682743,a
472.2762347593436,332.8928612416938,a
464.74923986230374,348.1888053457578,a
542.5761191432379,320.6110157276484,a
510.05785997641425,349.4244997040216,a
522.9813859972639,285.3998126608917,a
483.9108921448521,358.98929731217845,a
509.6085304136715,356.3560809948352,a
521.6450327716525,401.4133154152509,a
533.6031099833518,378.3818258315646,a
519.3616859832551,366.3836387002964,a
572.8572218004464,335.9585637456881,a
522.6164456141368,339.26620709905603,a
545.4796398521901,412.9964047786498,a
533.2066507975451,346.4315116965923,a
542.4686911159996,397.0478495732482,a
539.8134646334547,355.7485211146608,a
559.2753318572969,388.1028719877462,a
593.1365053781354,386.4167634749298,a
597.8882649788773,413.928736950514,a
584.5295487797947,400.07449058920156,a
613.7590301724607,387.8167388620403,a
504.16721303009496,433.48455040308704,a
613.3506775437135,376.37418473944115,a
582.4528381517084,452.0036315070623,a
554.5461498044475,386.97680030295106,a
610.5389995344086,394.6661169659679,a
595.1186615737491,442.66441831251836,a
614.6453092704891,434.93247055191324,a
648.227144801046,396.46718105120743,a
628.9459836887343,397.9744484127402,a
612.2848489947311,399.30567681306263,a
660.5869852389022,436.80210113657756,a
602.9380390752598,375.4698623192098,a
621.0579719918934,466.17319468005593,a
659.1496719308636,438.38026848297943,a
641.6267313411844,391.4201355957538,a
650.2694602549452,415.42976268796866,a
669.9867417799478,413.1121011695342,a
674.0628627170444,415.2374579990708,a
667.7172009075816,458.17585654213883,a
685.3144189515599,438.15286493514014,a
725.9455580625836,440.6590081413847,a
679.9617031602866,464.01047880524624,a
677.0482637850921,484.11539584382507,a
667.2414326372857,420.677772703058,a
722.7405499324002,399.47600392165725,a
696.6183067358204,412.1516413196792,a
698.7307225595586,414.5657438879714,a
709.1433139119106,389.0450564894773,a
702.2623581082316,416.92527959420005,a
